0,0,0,1,1,1,1,0,1,1,0,100,20,1000,0,lifo,pso,0,--reachability-slice-fb,--round-to-zero,--mathsat
0,0,0,1,1,1,1,1,1,1,1,100,100,2000,5,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-zero,--z3
1,1,1,0,1,0,1,1,1,1,1,1000,1,1000,5,0,tso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--boolector
1,0,0,0,1,0,1,0,1,1,1,5000,100,1000,100,0,tso,--arrays-uf-never,0,--round-to-zero,--cprover-smt2
1,0,0,1,1,0,0,1,0,1,1,0,100,100,100,lifo,tso,0,0,--round-to-plus-inf,--cvc4
1,1,1,0,0,1,0,0,0,1,0,2000,10,1000,100,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--mathsat
0,1,0,0,1,0,0,1,1,1,1,2000,1,1000,10,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,0
1,1,1,0,0,0,1,1,1,0,0,5000,20,100,5,0,tso,--arrays-uf-always,--reachability-slice,--round-to-zero,--yices
0,1,1,0,1,1,1,0,0,0,0,2000,5,5000,0,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--cprover-smt2
0,1,1,0,0,0,0,0,1,0,1,0,20,100,0,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2
0,1,0,0,1,1,0,0,0,1,0,0,20,2000,20,lifo,tso,0,--reachability-slice,--round-to-minus-inf,--mathsat
0,1,1,0,0,0,0,1,1,0,1,100,20,0,100,lifo,tso,--arrays-uf-never,0,--round-to-nearest,--z3
1,1,1,1,1,0,1,1,0,1,0,1000,10,0,5,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-zero,--z3
1,0,1,0,1,1,1,0,1,0,0,5000,20,100,10,0,pso,0,--reachability-slice,--round-to-nearest,0
0,0,0,0,0,1,0,0,1,0,0,100,1,5000,10,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cvc4
1,0,1,0,0,1,0,0,0,0,1,0,100,1000,0,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,--z3
0,1,1,0,0,1,0,0,1,0,0,1000,5,0,0,0,pso,--arrays-uf-never,--reachability-slice,--round-to-zero,--z3
0,0,0,1,1,0,0,1,0,0,0,1000,10,0,20,lifo,tso,--arrays-uf-never,0,--round-to-zero,--boolector
1,0,0,1,1,0,0,1,1,0,0,2000,1,2000,0,0,tso,0,0,--round-to-minus-inf,--cprover-smt2
1,0,0,0,0,0,1,0,0,0,1,0,1,0,100,fifo,tso,0,0,--round-to-nearest,--yices
1,0,1,0,1,0,0,1,1,0,0,2000,10,1000,10,fifo,sc,--arrays-uf-always,0,--round-to-zero,--z3
0,1,0,0,1,0,1,1,1,1,0,5000,5,100,100,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--cvc4
0,1,1,0,0,0,0,0,1,0,1,2000,10,0,100,0,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,0
1,0,1,1,0,0,0,1,1,1,1,5000,1,1000,5,fifo,sc,0,--reachability-slice,--round-to-zero,--cprover-smt2
1,0,0,1,1,1,0,1,1,1,1,100,10,100,0,fifo,tso,0,--reachability-slice,--round-to-plus-inf,--yices
1,1,1,1,1,1,1,0,0,0,0,0,1,5000,100,0,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--z3
1,0,1,1,1,1,1,0,1,1,1,2000,5,100,0,lifo,pso,--arrays-uf-always,0,--round-to-nearest,--cprover-smt2
1,1,0,1,1,0,0,1,1,0,1,100,10,0,100,fifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--mathsat
